min_age_participants,max_age_participants,avg_age_participants,n_participants_child,n_participants_teen,n_participants_adult,n_males,n_females,n_killed,n_injured,n_arrested,n_unharmed,n_participants,participant_age1,participant_age_group1,participant1_child,participant1_teen,participant1_adult,participant_gender1,participant1_male,participant1_female,inconsistent,NaN_values
,,,,,,1,0,0,1,0,0,1,,Adult 18+,0,0,1,Male,1,1,True,True
,,,,,,,,,,,,0,,Adult 18+,0,0,1,,1,1,True,True
,,,,,,1,1,0,1,1,0,2,,Adult 18+,0,0,1,Female,1,1,True,True
,,,,,,2,0,0,2,0,0,2,,Adult 18+,0,0,1,Male,1,1,True,True
43,47,45,0,0,2,2,0,1,1,0,0,2,47,Adult 18+,0,0,1,Male,1,1,False,False
,,,,,,,,,,,,0,,Adult 18+,0,0,1,,1,1,True,True
33,33,33,0,0,1,1,0,0,1,0,0,1,33,Adult 18+,0,0,1,Male,1,1,False,False
,,,,,,2,0,0,1,0,1,2,,Adult 18+,0,0,1,Male,1,1,True,True
28,28,28,0,0,1,1,1,1,1,0,0,2,28,Adult 18+,0,0,1,Male,1,1,True,False
24,29,26,0,0,2,2,0,0,1,0,1,2,29,Adult 18+,0,0,1,Male,1,1,False,False
19,19,19,0,0,1,1,0,0,0,1,0,1,19,Adult 18+,0,0,1,Male,1,1,False,False
33,33,33,0,0,1,1,0,0,0,1,0,1,33,Adult 18+,0,0,1,Male,1,1,False,False
18,24,22,0,0,4,5,0,1,1,3,0,5,23,Adult 18+,0,0,1,Male,1,1,True,False
19,20,20,0,0,2,2,0,0,0,2,0,2,19,Adult 18+,0,0,1,Male,1,1,False,False
,,,,,,,,,,,,0,,Adult 18+,0,0,1,,1,1,True,True
,,,,,,,,,,,,2,,Adult 18+,0,0,1,,1,1,True,True
26,26,26,0,0,1,1,0,0,0,0,1,1,26,Adult 18+,0,0,1,Male,1,1,False,False
24,48,36,0,0,2,2,0,0,0,0,2,3,24,Adult 18+,0,0,1,Male,1,1,True,False
50,53,52,0,0,2,2,0,0,1,1,0,2,50,Adult 18+,0,0,1,Male,1,1,False,False
23,23,23,0,0,1,1,0,0,0,1,0,1,23,Adult 18+,0,0,1,Male,1,1,False,False
,,,,,,2,0,0,1,0,1,2,,Adult 18+,0,0,1,Male,1,1,True,True
58,58,58,0,0,1,1,0,0,1,0,1,2,58,Adult 18+,0,0,1,Male,1,1,True,False
,,,,,,3,0,0,1,0,2,3,,Adult 18+,0,0,1,Male,1,1,True,True
21,21,21,0,0,2,1,0,1,1,0,0,2,21,Adult 18+,0,0,1,Male,1,1,True,False
,,,,,,2,0,0,0,0,2,2,,Adult 18+,0,0,1,Male,1,1,True,True
34,35,34,0,0,2,1,1,2,0,0,0,2,35,Adult 18+,0,0,1,Female,1,1,False,False
,,,,,,,,0,1,0,0,1,,Adult 18+,0,0,1,,1,1,True,True
,,,,,,1,0,0,1,0,0,1,,Adult 18+,0,0,1,Male,1,1,True,True
21,26,24,0,0,4,3,1,0,1,3,0,4,26,Adult 18+,0,0,1,Female,1,1,False,False
,,,,,,3,0,1,2,0,0,3,,Adult 18+,0,0,1,Male,1,1,True,True
32,32,32,0,0,1,1,0,1,0,0,0,1,32,Adult 18+,0,0,1,Male,1,1,False,False
27,38,32,0,0,2,2,0,0,0,2,0,2,27,Adult 18+,0,0,1,Male,1,1,False,False
27,27,27,0,0,4,4,0,0,0,0,1,4,27,Adult 18+,0,0,1,Male,1,1,True,False
26,26,26,0,0,1,1,0,0,1,0,0,1,26,Adult 18+,0,0,1,Male,1,1,False,False
,,,,,,1,0,0,1,0,0,1,,Adult 18+,0,0,1,Male,1,1,True,True
40,40,40,0,0,1,1,0,0,0,1,0,1,40,Adult 18+,0,0,1,Male,1,1,False,False
,,,,,,,,,,,,0,,Adult 18+,0,0,1,,1,1,True,True
21,24,22,0,0,2,2,0,1,0,1,0,2,24,Adult 18+,0,0,1,Male,1,1,False,False
,,,,,,1,0,0,1,0,0,1,,Adult 18+,0,0,1,Male,1,1,True,True
43,43,43,0,0,1,1,0,0,0,1,0,1,43,Adult 18+,0,0,1,Male,1,1,False,False
27,27,27,0,0,1,1,0,0,1,0,0,1,27,Adult 18+,0,0,1,Male,1,1,False,False
23,48,37,0,0,3,3,0,0,1,2,0,3,41,Adult 18+,0,0,1,Male,1,1,False,False
24,24,24,0,0,1,1,0,0,0,1,0,1,24,Adult 18+,0,0,1,Male,1,1,False,False
24,28,26,0,0,1,2,0,1,0,1,0,2,28,Adult 18+,0,0,1,Male,1,1,True,False
26,26,26,0,0,2,2,0,0,1,1,0,2,26,Adult 18+,0,0,1,Male,1,1,False,False
31,41,36,0,0,3,0,3,1,0,2,0,3,41,Adult 18+,0,0,1,Female,1,1,False,False
,,,,,,,,,,,,0,,Adult 18+,0,0,1,,1,1,True,True
,,,,,,1,0,0,1,0,0,1,,Adult 18+,0,0,1,Male,1,1,True,True
,,,,,,1,0,0,0,0,1,1,,Adult 18+,0,0,1,Male,1,1,True,True
,,,,,,1,0,0,1,0,0,1,,Adult 18+,0,0,1,Male,1,1,True,True
,,,,,,3,0,0,0,0,3,3,,Adult 18+,0,0,1,Male,1,1,True,True
20,20,20,0,0,2,1,1,0,1,1,0,2,20,Adult 18+,0,0,1,Female,1,1,False,False
,,,,,,1,0,0,0,0,1,1,,Adult 18+,0,0,1,Male,1,1,True,True
42,42,42,0,0,1,1,0,0,0,1,0,1,42,Adult 18+,0,0,1,Male,1,1,False,False
,,,,,,1,0,0,0,1,0,1,,Adult 18+,0,0,1,Male,1,1,True,True
65,65,65,0,0,1,1,0,0,0,0,1,1,65,Adult 18+,0,0,1,Male,1,1,False,False
17,19,18,0,1,1,2,0,0,0,0,2,2,19,Adult 18+,0,0,1,Male,1,1,False,False
23,23,23,0,0,1,1,0,0,0,1,0,1,23,Adult 18+,0,0,1,Male,1,1,False,False
,,,,,,,,,,,,0,,Adult 18+,0,0,1,,1,1,True,True
19,29,24,0,0,4,3,1,2,0,2,0,4,28,Adult 18+,0,0,1,Female,1,1,False,False
31,42,36,0,0,2,2,0,1,0,1,0,2,42,Adult 18+,0,0,1,Male,1,1,False,False
23,23,23,0,0,2,2,0,1,0,0,1,2,23,Adult 18+,0,0,1,Male,1,1,False,False
,,,,,,1,0,0,0,1,0,1,,Adult 18+,0,0,1,Male,1,1,True,True
20,20,20,0,0,1,1,0,1,0,0,0,1,20,Adult 18+,0,0,1,Male,1,1,False,False
35,35,35,0,0,2,2,0,0,1,0,1,2,35,Adult 18+,0,0,1,Male,1,1,False,False
41,41,41,0,0,1,0,1,1,0,0,0,1,41,Adult 18+,0,0,1,Female,1,1,False,False
25,52,36,0,0,4,4,0,0,0,4,0,4,25,Adult 18+,0,0,1,Male,1,1,False,False
21,21,21,0,0,1,1,0,0,1,0,1,2,21,Adult 18+,0,0,1,Male,1,1,True,False
28,28,28,0,0,1,1,0,0,0,0,1,1,28,Adult 18+,0,0,1,Male,1,1,False,False
34,63,48,0,0,2,1,1,1,0,1,0,2,34,Adult 18+,0,0,1,Female,1,1,False,False
25,33,29,0,0,2,2,0,0,0,2,0,2,25,Adult 18+,0,0,1,Male,1,1,False,False
,,,,,,0,1,0,1,0,0,1,,Adult 18+,0,0,1,Female,1,1,True,True
29,29,29,0,0,1,1,0,0,1,1,1,1,29,Adult 18+,0,0,1,Male,1,1,True,False
33,36,34,0,0,2,1,1,1,0,1,0,2,36,Adult 18+,0,0,1,Male,1,1,False,False
22,22,22,0,0,3,3,0,0,2,0,1,3,22,Adult 18+,0,0,1,Male,1,1,False,False
35,47,41,0,0,2,2,0,1,0,1,0,2,47,Adult 18+,0,0,1,Male,1,1,False,False
37,37,37,0,0,1,1,0,1,0,0,0,1,37,Adult 18+,0,0,1,Male,1,1,False,False
,,,,,,1,0,0,0,1,0,1,,Adult 18+,0,0,1,Male,1,1,True,True
8,21,16,1,0,2,1,2,0,1,0,2,3,8,,,,1,Female,1,1,False,False
,,,,,,1,0,0,0,0,1,1,,Adult 18+,0,0,1,Male,1,1,True,True
23,24,24,0,0,2,2,0,0,1,1,0,2,23,Adult 18+,0,0,1,Male,1,1,False,False
29,33,31,0,0,3,3,0,0,3,0,0,3,29,Adult 18+,0,0,1,Male,1,1,False,False
17,44,23,0,1,5,3,3,0,1,5,0,6,44,Adult 18+,0,0,1,Female,1,1,False,False
26,26,26,0,0,1,2,0,0,1,0,1,2,26,Adult 18+,0,0,1,Male,1,1,True,False
27,30,28,0,0,2,2,0,1,0,1,0,2,30,Adult 18+,0,0,1,Male,1,1,False,False
58,58,58,0,0,1,1,0,0,0,1,0,1,58,Adult 18+,0,0,1,Male,1,1,False,False
37,71,55,0,0,3,3,0,1,2,0,0,3,71,Adult 18+,0,0,1,Male,1,1,False,False
24,34,29,0,0,2,0,2,0,1,1,0,2,34,Adult 18+,0,0,1,Female,1,1,False,False
23,23,23,0,0,2,2,0,0,1,0,1,2,23,Adult 18+,0,0,1,Male,1,1,False,False
36,36,36,0,0,2,1,1,1,0,0,1,2,36,Adult 18+,0,0,1,Male,1,1,False,False
,,,,,,1,0,0,0,0,1,1,,Adult 18+,0,0,1,Male,1,1,True,True
51,51,51,0,0,1,1,0,0,0,1,0,1,51,Adult 18+,0,0,1,Male,1,1,False,False
41,41,41,0,0,1,1,0,0,0,1,0,1,41,Adult 18+,0,0,1,Male,1,1,False,False
17,17,17,0,1,0,1,0,0,1,0,0,1,17,,,,1,Male,1,1,False,False
60,60,60,0,0,1,1,0,1,0,0,0,1,60,Adult 18+,0,0,1,Male,1,1,False,False
35,35,35,0,0,1,1,0,0,0,1,0,1,35,Adult 18+,0,0,1,Male,1,1,False,False
22,22,22,0,0,1,1,0,0,1,0,0,1,22,Adult 18+,0,0,1,Male,1,1,False,False
38,38,38,0,0,1,1,0,0,0,1,0,1,38,Adult 18+,0,0,1,Male,1,1,False,False
16,16,16,0,1,0,1,0,0,1,0,0,1,16,,,,1,Male,1,1,False,False
17,19,18,0,1,3,4,0,0,1,3,0,4,18,Adult 18+,0,0,1,Male,1,1,False,False
49,49,49,0,0,1,1,0,1,0,0,0,1,49,Adult 18+,0,0,1,Male,1,1,False,False
,,,,,,1,0,0,0,0,1,1,,Adult 18+,0,0,1,Male,1,1,True,True
,,,,,,1,0,0,0,0,1,1,,Adult 18+,0,0,1,Male,1,1,True,True
,,,,,,,,0,1,0,0,1,,Adult 18+,0,0,1,,1,1,True,True
26,26,26,0,0,1,1,0,0,1,0,0,1,26,Adult 18+,0,0,1,Male,1,1,False,False
,,,,,,,,,,,,0,,Adult 18+,0,0,1,,1,1,True,True
14,27,19,0,2,2,4,0,0,0,4,0,4,27,Adult 18+,0,0,1,Male,1,1,False,False
26,26,26,0,0,1,1,0,0,1,1,0,1,26,Adult 18+,0,0,1,Male,1,1,True,False
,,,,,,,,,,,,0,,Adult 18+,0,0,1,,1,1,True,True
,,,,,,2,1,0,0,3,3,6,,Adult 18+,0,0,1,Female,1,1,True,True
23,23,23,0,0,2,2,0,1,0,1,0,2,23,Adult 18+,0,0,1,Male,1,1,False,False
57,57,57,0,0,1,2,0,1,0,0,0,2,57,Adult 18+,0,0,1,Male,1,1,True,False
,,,,,,,,0,1,0,0,1,,Adult 18+,0,0,1,,1,1,True,True
22,22,22,0,0,1,1,0,0,0,1,0,1,22,Adult 18+,0,0,1,Male,1,1,False,False
,,,,,,0,1,0,0,0,1,1,,Adult 18+,0,0,1,Female,1,1,True,True
25,25,25,0,0,3,1,0,1,2,0,0,3,25,Adult 18+,0,0,1,Male,1,1,True,False
16,16,16,0,2,0,1,1,0,1,0,1,2,16,,,,1,Female,1,1,False,False
29,29,29,0,0,1,1,0,0,1,0,0,1,29,Adult 18+,0,0,1,Male,1,1,False,False
15,15,15,0,1,0,0,1,1,0,0,0,1,15,,,,1,Female,1,1,False,False
39,39,39,0,0,1,1,0,0,0,1,0,1,39,Adult 18+,0,0,1,Male,1,1,False,False
