numeric_characteristics
-1-96
34-97
-1-96
96-98
50-72
32-97
-1-45
1-100
50-97
-1-96
-1-97
32-97
96-97
8-50
-1-97
33-88
15-72
-1-96
-1-101
32-97
-1-97
-1-8
72-73
73-96
8-100
100-112
61-96
-1-96
61-96
-1-96
34-72
32-97
89-100
50-97
-1-97
-1-97
-1-97
-1-97
72-73
-1-8
34-97
-1-100
-1-97
-1-97
-1-100
96-97
73-96
-1-100
-1-97
-1-96
-1-97
50-100
-1-97
88-97
-1-100
-1-15
-1-97
-1-100
1-97
61-72
-1-8
45-72
-1-100
61-72
-1-97
-1-97
72-73
-1-97
-1-110
96-109
34-96
8-15
71-97
-1-96
-1-97
72-100
0-72
33-72
-1-16
-1-96
8-88
-1-97
8-15
-1-97
96-97
72-112
73-96
-1-100
-1-8
96-97
56-97
72-100
33-72
26-96
-1-97
32-97
-1-100
73-97
72-110
-1-97
34-97
-1-97
1-97
-1-100
-1-97
-1-96
31-100
-1-97
33-97
8-72
33-72
-1-96
0-72
15-72
-1-97
31-72
96-97
32-97
-1-97
-1-97
32-100
-1-97
-1-97
33-72
26-97
62-97
-1-97
-1-97
-1-97
72-73
16-100
-1-97
-1-96
-1-100
45-72
72-100
-1-96
-1-97
0-72
-1-96
-1-97
-1-96
-1-8
72-112
15-31
-1-97
61-72
89-96
1-97
33-100
-1-16
72-100
14-97
-1-97
-1-8
45-72
73-100
50-96
-1-97
61-72
-1-97
-1-110
-1-96
8-97
0-100
-1-97
-1-96
-1-100
50-72
61-71
61-96
0-72
96-100
-1-96
32-100
26-97
-1-100
-1-15
89-97
14-97
89-100
-1-97
-1-97
-1-97
15-100
96-97
33-50
72-90
33-97
-1-100
14-97
-1-96
-1-96
-1-97
-1-97
31-97
45-72
0-72
8-97
73-96
-1-0
32-97
-1-100
8-97
67-97
8-72
-1-100
-1-97
8-61
73-96
72-73
73-107
-1-96
-1--1
-1-97
14-96
50-72
-1-96
-1-97
8-59
96-97
-1-97
-1-97
33-72
-1-97
33-72
-1-97
26-97
1-97
-1-97
61-96
0-88
97-107
61-72
-1-100
-1-96
-1-97
0-72
32-97
34-97
1-97
96-109
33-72
33-72
-1-97
-1-97
-1-97
-1-97
33-96
33-97
-1-100
-1-97
32-97
26-97
96-109
1-96
-1-97
32-97
-1-97
-1-100
61-72
61-97
45-72
-1-100
-1-97
-1-97
14-97
26-97
72-73
-1-97
-1-97
-1-97
50-72
33-72
73-96
96-97
17-96
-1-96
84-100
72-110
50-97
61-97
1-97
-1-97
72-73
50-97
-1-97
-1-8
-1-8
-1-97
88-100
1-97
-1-97
33-100
73-97
8-16
72-110
-1-97
-1-96
-1-96
96-97
-1-96
-1-97
96-97
34-96
26-96
31-72
-1-96
50-96
-1-97
0-33
61-97
-1-97
32-97
33-97
-1-96
-1-96
-1-97
50-51
50-97
8-97
-1-97
1-97
-1-100
-1-100
72-89
1-97
45-72
73-100
33-96
50-72
33-100
-1-96
-1-100
-1-97
-1-62
-1-96
-1-96
-1-97
31-72
32-97
-1-97
0-72
73-80
31-96
33-88
34-72
32-97
9-97
32-100
72-73
-1-100
56-97
-1-97
71-96
-1-97
71-100
14-96
1-97
-1-97
-1-100
50-100
31-96
-1-100
15-72
-1-97
88-100
-1-97
-1-100
73-74
32-100
1-97
72-110
8-61
-1-97
-1-96
72-88
-1-88
-1-0
-1-97
32-96
0-72
-1-96
34-72
33-100
72-112
32-100
34-96
-1-96
73-100
-1-97
61-72
8-61
97-100
15-100
-1-96
88-97
-1-97
50-72
33-72
-1-100
-1-100
50-96
-1-110
72-90
-1-89
-1-96
62-100
96-97
1-97
-1-96
16-72
50-97
-1-97
72-91
-1-8
-1-100
33-72
96-109
8-97
32-100
-1-96
31-97
-1-97
32-97
33-72
-1-97
-1-96
1-96
15-100
72-73
88-97
71-96
8-61
-1-97
-1-97
-1-97
-1-96
73-100
73-97
50-72
33-72
32-97
8-88
-1-97
31-97
-1-96
71-72
96-97
-1-97
33-72
32-97
-1-100
1-97
1-96
1-97
-1-97
32-97
8-50
-1-97
-1-96
73-74
-1-100
32-97
73-97
0-72
72-84
-1-96
89-100
-1-96
-1-97
96-97
-1-96
96-97
-1-97
-1-96
72-73
-1-97
-1-96
8-97
-1-100
45-72
-1-100
72-112
56-100
34-72
34-97
71-97
97-100
73-96
-1-100
-1-88
-1-96
8-61
8-97
73-100
32-100
33-72
32-100
61-100
-1-96
32-97
-1-96
-1-96
26-97
24-72
33-72
88-97
73-100
1-97
88-97
-1-97
96-109
72-73
12-97
-1-97
15-72
-1-100
8-59
72-88
32-97
32-100
0-72
-1-97
-1-96
-1-97
-1-100
96-97
96-109
-1-100
0-72
72-73
-1-100
73-100
-1-100
-1-97
34-97
-1-96
-1-97
8-59
-1-97
8-97
-1-100
-1-97
-1-100
-1-100
67-97
0-72
-1-97
-1-97
-1-96
31-97
-1-8
-1-100
72-73
72-88
100-101
32-97
-1-96
32-100
73-96
31-72
31-72
-1-96
-1-101
34-97
-1-96
1-97
33-72
-1-97
31-100
8-97
-1-96
96-97
91-97
62-72
-1-96
-1-96
-1-8
1-96
84-100
16-72
73-74
73-96
16-72
-1-110
-1-45
32-97
-1-96
50-72
-1-97
72-100
-1-97
-1-97
50-52
33-72
1-96
14-97
72-90
0-33
96-97
-1-97
71-72
15-72
-1-97
-1-97
-1-96
33-88
-1-97
88-96
-1-97
96-109
45-72
-1-96
-1-96
-1-97
-1-100
-1-97
-1-100
-1-88
-1-97
-1-96
72-91
26-97
15-72
-1-97
-1-97
32-97
33-72
-1-110
-1-97
50-52
-1-97
-1-110
-1-110
-1-100
6-73
96-109
96-97
-1-110
72-89
1-96
-1-97
-1-100
-1-96
73-100
-1-97
-1-96
33-72
-1-100
33-72
34-72
-1-97
32-97
-1-97
-1-97
31-72
-1-97
-1-97
33-72
-1-97
-1-97
89-96
8-88
8-100
-1-100
96-109
64-100
-1-97
33-97
73-80
-1-15
96-97
-1-97
73-96
-1-97
-1-96
31-97
32-97
1-96
8-97
8-97
73-100
-1-96
73-97
61-100
73-96
33-100
31-97
33-72
-1-96
43-72
96-97
8-96
12-72
0-97
-1-96
-1-96
61-72
33-72
26-97
50-51
33-72
33-72
-1-88
-1-97
88-97
73-100
32-96
73-96
96-97
62-72
73-96
32-97
8-88
-1-97
96-97
-1-97
32-100
73-100
-1-96
61-72
-1-97
-1-88
73-97
71-97
-1-96
32-97
8-97
0-72
14-97
-1-97
1-97
73-96
-1-16
-1-97
-1-97
96-109
32-100
61-72
72-84
50-97
31-72
73-96
0-72
71-72
-1-97
31-96
-1-96
72-110
0-72
-1-97
-1-97
96-97
1-97
-1-96
-1-97
-1-97
50-97
96-97
-1-97
34-96
31-97
73-96
33-36
96-97
31-97
-1-97
-1-96
-1-110
26-100
-1-97
26-97
45-72
61-97
-1-97
61-72
96-100
-1-96
72-110
-1-100
-1-100
-1-97
-1-97
-1-100
31-100
-1-97
1-97
-1-100
14-100
-1-97
72-84
-1-96
0-72
-1-88
72-89
45-72
8-97
96-109
26-72
-1-100
33-72
32-97
73-97
32-96
-1-96
14-97
-1-97
-1-100
0-72
14-97
0-97
-1-97
1-97
33-72
50-72
72-110
50-97
61-100
73-97
0-72
-1-0
33-100
73-97
-1-8
-1-97
72-110
-1-96
-1-97
1-97
96-97
24-100
89-97
1-97
96-109
61-100
88-100
-1-97
32-97
31-96
0-72
61-96
33-34
17-97
-1-100
72-91
88-100
72-110
73-100
-1-97
15-72
-1-97
-1-97
61-72
61-72
-1-97
24-96
96-97
72-110
-1-97
33-72
-1-97
15-97
-1-8
-1-97
73-100
-1-97
-1-100
-1-8
-1-100
15-72
-1-97
73-97
96-97
-1-69
-1-97
32-96
1-97
0-72
0-72
96-97
-1-110
-1-97
0-72
-1-100
97-100
50-72
0-72
-1-96
72-73
8-97
-1-97
15-107
31-96
31-97
-1-97
-1-97
-1-97
-1-100
50-72
-1-97
-1-97
-1-100
72-112
32-97
-1-97
-1-97
15-96
-1-96
-1-97
26-100
-1-97
-1-97
31-72
32-97
61-72
-1-96
-1-97
93-97
-1-97
34-97
72-93
-1-97
-1-100
33-72
-1-96
-1-97
95-96
71-72
33-72
-1-97
-1-96
-1-97
88-97
72-88
45-72
50-97
31-100
34-97
-1-97
72-112
50-72
88-100
-1-100
50-72
8-84
-1-96
-1-100
71-97
-1-96
-1-96
50-97
-1-8
-1-97
72-89
32-97
73-97
-1-97
-1-97
-1-97
69-96
-1-100
34-97
-1-100
73-97
45-72
-1-97
-1-8
26-96
-1-100
90-96
61-72
33-72
-1-96
8-97
-1-97
-1-97
32-100
50-100
-1-97
34-96
31-97
-1-96
88-96
-1-97
96-97
71-97
73-96
-1-97
88-100
-1-97
73-97
-1-97
15-100
50-72
-1-100
73-100
-1-97
8-96
17-97
17-72
15-72
61-97
73-96
72-110
33-72
-1-96
-1-97
-1-97
61-100
71-72
96-97
-1-97
61-72
33-72
73-100
-1-97
8-61
-1-97
16-72
-1-96
8-97
-1-97
-1-97
8-97
-1-97
31-72
-1-96
73-100
26-100
32-97
46-72
-1-96
-1-97
96-97
-1-97
-1-97
-1-97
-1-97
34-97
50-72
8-97
-1-97
-1-96
34-72
-1-97
8-97
33-88
-1-96
33-72
8-33
33-97
-1-97
-1-97
32-97
50-100
1-97
-1-97
96-109
96-109
0-72
-1-110
-1-97
-1-96
-1-97
14-96
50-72
96-97
-1-97
50-72
-1-96
8-97
-1-96
32-97
96-109
8-97
50-72
96-109
-1-97
96-97
-1-97
1-97
61-72
-1-97
-1-97
0-72
50-51
50-97
-1-97
50-97
31-96
-1-97
1-97
33-100
88-97
-1-97
8-97
73-96
-1-96
73-97
0-72
73-96
73-100
26-97
0-72
-1-97
-1-97
-1-45
-1-97
-1-96
-1-8
96-97
-1-100
-1-96
96-109
72-110
-1-97
-1-100
34-97
-1-97
-1-97
-1-97
-1-97
50-97
8-62
-1-100
-1-100
15-100
32-97
-1-97
73-100
-1-96
33-96
-1-45
50-72
72-73
33-72
16-96
45-96
-1-97
96-97
-1-96
-1-100
-1-97
67-97
34-97
72-88
-1-97
73-96
8-97
90-97
-1-97
16-72
72-73
32-100
50-72
31-97
-1-97
50-72
-1-100
-1-15
100-112
88-96
-1-97
-1-97
15-72
73-100
-1-97
15-100
0-72
96-97
14-96
-1-96
45-72
32-97
61-97
-1-97
32-96
95-97
88-97
33-97
61-97
-1-8
96-97
0-72
50-54
0-72
-1-97
67-97
26-96
15-100
72-91
-1-97
33-72
-1-96
-1-96
-1-88
-1-97
73-97
-1-97
31-96
8-97
62-72
-1-97
32-100
33-72
-1-100
1-97
73-100
72-110
-1-97
73-97
16-72
72-110
-1-97
-1-96
15-33
-1-31
0-72
50-72
15-84
-1-88
72-91
-1-97
1-97
8-61
32-97
-1-8
16-72
-1-96
-1-100
0-72
-1-100
-1-96
96-109
-1-97
50-51
0-72
-1-97
-1-96
-1-97
88-100
8-97
-1-96
62-100
72-101
71-97
45-72
-1-96
-1-96
-1-96
14-97
-1-96
-1-100
88-97
-1-88
26-97
0-72
-1-97
0-72
-1-101
-1-97
33-72
61-100
-1-97
-1-97
97-100
34-72
-1-97
-1-96
73-96
26-97
-1-97
-1-96
-1-97
-1-97
-1-97
96-97
-1-96
-1-97
-1-97
97-100
50-97
8-97
33-97
-1-97
-1-97
61-72
0-72
88-96
-1-96
73-100
-1-97
0-72
-1-97
96-97
-1-97
72-110
72-112
-1-97
72-88
98-100
73-96
-1-100
-1-45
1-100
8-97
-1-97
26-97
32-96
96-109
50-72
-1-97
31-96
61-72
50-51
-1-96
-1-97
-1-96
-1-96
8-61
-1-96
16-72
26-96
-1-97
8-97
33-72
8-96
61-100
73-100
-1-97
-1-97
8-97
8-97
89-100
72-91
88-100
-1-8
-1-97
32-97
-1-97
-1-96
73-96
-1-96
50-97
-1-97
31-97
50-72
-1-97
-1-97
61-97
-1-8
50-96
8-61
89-97
-1-97
33-97
50-96
32-97
-1-97
-1-8
26-72
-1-88
50-100
-1-96
-1-96
-1-97
-1-100
33-72
-1-110
1-96
0-97
-1-97
-1-100
50-97
0-72
73-97
61-97
88-96
8-96
-1-96
-1-97
14-100
26-97
8-61
-1-97
8-16
-1-96
34-96
-1-97
-1-97
-1-96
15-72
73-100
0-72
72-112
96-109
72-105
-1-96
-1-72
72-73
-1-97
8-59
14-97
15-72
45-72
61-72
33-72
0-72
88-96
-1-110
-1-100
31-97
-1-97
-1-97
8-88
61-100
-1-97
-1-97
15-72
-1-100
32-96
72-88
96-97
96-109
8-61
73-80
16-72
88-96
-1-96
32-97
34-96
96-97
15-72
33-72
-1-96
8-61
61-97
-1-100
-1-96
50-72
45-72
8-97
96-97
91-96
-1-100
-1-100
-1-97
88-97
16-72
-1-97
-1-97
61-100
73-100
8-96
-1-97
-1-97
-1-97
-1-100
-1-45
-1-97
0-72
-1-100
61-97
73-97
71-97
-1-97
-1-96
-1-97
96-97
-1-100
72-73
-1-97
56-97
96-97
-1-97
73-97
-1-100
16-72
-1-97
32-100
73-96
-1-97
96-103
96-98
33-72
33-96
45-96
96-97
0-72
90-100
-1-97
-1-100
50-72
-1-96
-1-97
73-100
-1-97
33-72
-1-100
-1-97
8-97
-1-97
8-61
-1-96
33-72
33-72
8-59
-1-97
-1-97
61-72
32-100
72-73
-1-97
33-97
-1-97
73-97
56-97
8-97
17-97
-1-97
62-72
-1-100
64-100
-1-100
-1-97
61-72
50-52
-1-97
31-97
-1-97
-1-96
1-96
-1-97
72-73
33-72
-1-96
96-97
-1-97
72-89
8-97
33-72
-1-100
-1-96
72-90
33-97
72-73
-1-96
32-97
90-100
31-96
-1-100
32-97
-1-96
96-97
-1-97
32-100
-1-97
-1-96
0-72
0-88
45-72
98-100
72-110
73-96
-1-97
-1-97
-1-96
-1-97
1-97
-1-97
-1-97
-1-96
-1-100
8-61
32-100
0-72
34-97
-1-96
8-61
90-96
89-96
-1-45
8-100
-1-100
69-96
61-72
-1-72
33-72
32-97
50-51
0-72
14-97
96-97
50-72
-1-97
32-100
15-61
-1-97
95-97
-1-72
8-97
-1-100
96-97
1-97
50-97
-1-96
96-109
71-72
-1-97
62-72
1-97
16-72
24-97
-1-100
33-72
61-72
26-97
-1-96
33-72
0-72
1-97
98-100
-1-97
-1-97
1-100
-1-100
17-96
67-97
-1-97
33-72
72-90
-1-96
88-100
61-72
-1-97
32-96
73-97
33-72
1-3
-1-97
-1-97
-1-96
-1-100
73-100
-1-96
96-97
31-97
33-72
-1-97
-1-100
8-97
50-96
-1-100
8-34
95-96
73-96
-1-88
72-73
-1-100
31-100
73-100
-1-96
8-61
26-97
-1-97
16-72
-1-6
34-96
-1-97
8-59
-1-97
56-97
73-97
32-96
33-72
-1-97
1-97
8-96
-1-97
-1-101
71-97
34-97
-1--1
72-91
14-15
16-97
-1-16
32-100
1-97
-1-100
-1-96
-1-100
26-97
-1-97
-1-45
73-97
24-97
-1-96
14-72
-1-97
-1-96
-1-97
-1-96
-1-97
73-100
61-100
-1-96
0-72
-1-96
32-100
-1-100
-1-97
31-97
-1-96
-1-97
73-97
72-110
-1-96
61-97
-1-97
33-72
17-97
73-97
33-72
-1-97
-1-96
-1-96
0-72
15-100
0-72
26-72
32-97
61-97
72-91
33-97
-1-100
-1-100
-1-97
-1-96
31-96
-1-15
73-100
61-97
32-100
-1-96
31-97
15-16
50-72
-1-101
31-72
96-107
-1-97
-1-96
61-100
24-100
-1-97
96-97
33-72
-1-100
50-72
-1-97
50-97
32-97
-1-100
-1-96
-1-97
-1-8
88-100
-1-100
96-97
-1-110
-1-45
-1-97
15-50
-1-97
8-61
-1-96
-1-100
73-100
-1-96
-1-97
-1-97
73-96
31-100
32-97
33-72
-1-97
-1-96
-1-97
-1-100
-1-96
-1-97
32-96
-1-96
0-72
31-96
72-90
-1-96
-1-8
73-74
32-100
33-72
1-96
73-97
-1-97
50-97
32-97
-1-97
-1--1
-1-97
73-96
71-72
15-72
-1-88
-1-97
33-72
96-97
17-72
-1-97
-1-88
-1-100
32-97
1-97
14-97
-1-97
-1-97
-1-96
15-72
-1-97
-1-97
50-96
1-97
32-96
15-72
-1-101
-1-97
16-72
73-80
72-91
33-72
-1-96
72-100
-1-97
-1-97
-1-97
0-72
-1-96
72-73
-1-97
8-96
0-72
-1-97
8-97
45-72
17-97
62-93
-1-97
31-97
96-97
-1-97
15-88
-1-15
45-72
-1-15
73-96
72-73
1-97
97-100
32-97
-1-97
96-109
15-72
-1-96
14-97
-1-84
-1-96
-1-97
8-72
8-59
31-97
-1-96
50-72
-1-97
33-72
72-73
98-100
33-100
8-61
72-88
-1-8
-1-97
-1-96
34-45
33-72
96-97
-1-96
-1-97
0-97
-1-97
32-96
72-88
33-72
-1-97
-1-97
61-100
-1-110
100-107
89-96
96-109
15-100
-1-97
-1-97
-1-110
8-62
31-100
-1-97
-1-97
8-96
-1-96
-1-97
32-100
0-72
-1-97
50-72
-1-100
33-72
88-97
96-97
61-100
-1-101
-1-97
61-97
14-97
0-100
-1-8
50-96
-1-100
-1-97
0-33
73-100
-1-97
72-111
8-33
0-97
73-100
32-100
8-97
8-97
-1-97
50-72
96-109
61-72
-1-97
8-61
-1-100
73-100
50-72
8-59
-1-97
-1-97
72-88
-1-96
-1-96
73-97
32-97
-1-97
100-101
14-97
67-97
-1-97
32-97
32-97
33-97
45-72
61-100
-1-97
-1-96
-1-100
32-96
-1-97
-1-97
1-96
33-72
56-97
-1-97
0-72
-1-8
-1-96
72-88
31-97
16-72
-1-100
-1-97
96-97
62-100
-1-96
1-3
73-97
32-97
14-97
-1-97
56-96
-1-100
8-72
8-59
1-97
15-72
72-73
67-97
-1-97
0-88
-1-97
-1-97
71-100
-1-97
71-72
96-109
72-91
72-73
-1-100
71-97
8-100
8-72
73-97
72-73
96-97
-1-97
-1-96
72-110
-1-96
16-72
33-72
8-97
73-97
-1-97
-1-84
73-97
31-72
72-73
-1-100
15-16
32-97
-1-97
50-100
-1-100
32-97
71-96
-1-100
0-72
72-88
88-97
-1-97
72-88
61-72
-1-97
-1-97
0-72
32-97
-1-97
72-88
-1-100
-1-96
50-72
50-97
-1-97
61-97
-1-96
34-72
-1-100
33-97
-1-97
-1-97
15-72
-1-97
61-72
-1-100
-1-97
61-72
-1-97
33-72
-1-97
-1-97
96-97
97-100
50-97
-1-100
-1-100
84-100
-1-96
-1-100
15-100
33-72
1-97
33-100
96-109
96-97
-1-97
72-89
-1-97
33-72
-1-96
73-100
96-97
8-97
90-97
-1-110
8-97
32-96
96-109
73-100
50-72
-1-97
31-96
-1-97
1-96
32-100
100-101
0-72
96-97
73-97
-1-96
96-109
61-96
-1-97
72-88
96-97
32-97
-1-96
26-96
-1-96
-1-96
73-100
-1-97
-1-97
-1-97
-1-96
33-97
72-88
-1-97
-1-97
-1-96
50-96
-1-96
34-88
50-97
33-72
33-72
-1-100
0-72
-1-100
-1-97
73-96
12-97
33-96
33-96
0-72
31-100
-1-97
72-73
71-97
-1-97
8-97
-1-97
-1-96
32-100
0-72
73-100
32-100
36-91
97-105
-1-97
33-96
71-72
0-72
32-97
-1-97
-1-97
-1-96
88-100
98-100
-1-96
100-101
-1-100
73-97
-1-100
1-96
16-72
-1-97
-1-97
72-110
1-100
1-96
32-100
-1-97
-1-97
96-97
73-96
-1-97
61-97
34-97
-1-100
32-100
73-97
-1-96
67-97
-1-100
-1-0
-1-97
61-100
71-97
8-16
96-109
-1-100
-1-97
1-5
33-72
-1-8
-1-97
-1-97
50-51
32-100
50-72
32-97
32-100
8-97
-1-100
-1-96
-1-97
-1-97
-1-97
-1-96
0-72
17-100
0-72
-1-15
0-72
73-100
0-100
-1-96
-1-97
32-100
33-72
0-72
-1-100
33-72
-1-8
96-97
33-96
-1-96
0-72
61-72
72-73
50-51
-1-100
-1-96
-1-97
31-100
96-109
-1--1
-1-97
50-97
73-100
-1-100
-1-97
71-97
-1-96
-1-97
-1-97
-1-100
-1-96
-1-97
34-97
-1-96
-1-96
-1-97
-1-97
96-97
-1-97
73-96
-1-97
73-100
50-54
26-96
-1-97
32-100
50-96
26-72
72-88
8-61
73-97
-1-96
72-88
-1-100
-1-15
-1-97
0-100
72-88
62-72
-1-97
8-97
-1-100
1-97
14-97
-1-97
33-72
-1-97
73-100
31-96
61-97
1-97
-1-96
33-72
14-96
96-97
73-96
8-97
-1-97
96-97
72-91
-1-96
72-73
-1-100
-1-110
72-84
31-97
72-100
8-61
33-100
72-110
1-97
-1-8
50-97
-1-97
31-72
-1-100
-1-110
73-100
33-72
-1-97
1-97
-1-97
96-97
-1-97
33-97
73-100
-1-97
8-97
33-88
1-97
-1-96
-1-100
96-97
100-101
-1-110
-1-100
71-96
-1-97
-1-97
34-72
-1-96
14-96
96-97
72-88
-1-96
88-97
32-100
72-100
32-100
0-33
-1-97
-1-97
96-109
-1-97
-1-100
96-109
-1-97
-1-97
32-97
33-96
26-100
-1-97
-1-97
45-72
-1-97
-1-100
-1-100
8-61
32-97
1-97
61-97
-1-97
-1-96
-1-97
-1-97
32-96
-1-97
-1-97
71-97
-1-96
-1-97
61-72
50-96
1-97
72-88
73-97
31-72
-1-97
8-97
-1-100
96-97
-1--1
-1-100
14-97
32-100
33-72
72-110
-1-97
-1-100
-1-97
50-96
50-72
72-100
-1-96
31-96
-1-96
34-72
61-100
-1-15
-1-100
34-97
-1-96
-1-110
-1-97
61-72
32-97
-1-96
-1-97
61-97
-1-96
32-96
31-96
96-109
-1-100
61-97
32-100
-1-96
61-96
-1-96
96-109
-1-97
-1-97
-1-96
33-72
50-72
-1-97
50-72
8-59
8-97
71-72
-1-97
8-97
-1-97
33-72
73-100
32-100
33-72
-1-110
50-72
14-97
-1-97
-1-96
50-97
-1-96
73-97
34-97
1-97
1-97
-1-97
15-90
0-72
96-109
14-96
33-100
31-72
-1-97
31-100
-1-97
8-100
-1-101
