,cluster
31200,2
31213,0
31247,3
31254,1
31280,3
31284,0
31298,2
31299,0
31329,0
31346,3
31352,3
31357,3
31372,0
31387,2
31438,5
31455,4
31456,3
31460,0
31461,5
31471,1
31481,5
31509,0
31529,5
31532,2
31541,2
31546,0
31549,2
31587,6
31618,1
31637,3
31687,0
31722,0
31737,0
31738,2
31740,1
31772,2
31785,0
31793,0
31800,2
31804,5
31818,2
31826,0
31852,2
31901,2
31916,2
31917,0
31930,2
31942,5
31951,2
31952,0
31995,2
32008,3
32015,5
32023,2
32034,2
32038,0
32050,6
32057,5
32077,6
32088,2
32099,4
32121,5
32122,5
32132,2
32147,2
32148,0
32155,3
32175,3
32179,3
32182,1
32228,3
32235,2
32291,3
32304,5
32354,0
32372,2
32374,3
32483,5
32496,2
32517,2
32535,3
32544,5
32555,0
32588,3
32594,2
32664,0
32670,0
32702,0
32705,0
32710,2
32718,1
32719,0
32732,3
32757,2
32758,2
32766,2
32801,2
32804,0
32813,1
32844,0
32850,2
32851,0
32856,3
32875,3
32885,0
32889,0
32894,6
32898,1
32912,2
32920,2
32927,0
32931,2
32946,2
32971,2
33008,2
33033,5
33070,5
33147,2
33153,2
33178,2
33199,2
33203,3
33224,0
33234,2
33244,4
33259,2
33263,0
33265,0
33363,5
33374,0
33387,0
33409,0
33452,2
33465,0
33479,0
33481,0
33485,5
33499,2
33514,0
33547,0
33552,0
33553,2
33556,2
33588,0
33633,3
33680,3
33695,6
33710,2
33718,0
33721,6
33758,0
33765,2
33779,2
33787,1
33796,3
33798,2
33919,0
33962,3
33975,2
33977,0
33979,0
33981,2
34037,0
34052,2
34054,2
34055,2
34058,1
34073,1
34093,0
34119,4
34223,3
34232,2
34300,2
34312,5
34325,0
34334,3
34338,4
34348,2
34365,1
34369,0
34385,4
34395,3
34426,0
34435,5
34436,3
34442,3
34458,4
34471,0
34481,0
34486,2
34492,0
34516,0
34543,4
34550,5
34570,2
34573,4
34597,3
34604,0
34623,0
34627,3
34637,1
34638,2
34658,0
34717,1
34718,2
34798,2
34850,0
34856,1
34866,0
34915,0
34949,0
34958,2
34959,2
34977,0
34990,3
34992,3
35032,2
35056,3
35069,1
35072,3
35092,2
35097,2
35103,3
35110,2
35111,3
35114,1
35142,0
35145,1
35150,3
35216,2
35223,2
35229,2
35231,2
35244,0
35278,2
35313,2
35365,0
35367,0
35386,2
35393,3
35397,0
35403,1
35412,2
35414,2
35423,0
35447,1
35451,3
35454,2
35508,5
35538,1
35539,0
35544,2
35550,2
35560,2
35563,0
35598,3
35604,0
35616,4
35636,3
35661,3
35690,3
35695,0
35706,0
35710,0
35741,1
35760,2
35770,2
35777,2
35790,4
35811,2
35829,3
35833,2
35848,3
35849,5
35861,3
35880,3
35882,0
35893,2
35900,0
35965,3
35968,2
35990,0
36008,2
36009,6
36022,0
36027,2
36029,0
36052,2
36075,0
36080,0
36104,0
36117,4
36120,0
36147,4
36150,0
36191,1
36203,0
36205,2
36219,0
36231,2
36281,0
36283,5
36310,2
36328,0
36339,3
36345,0
36349,2
36374,0
36381,2
36396,0
36404,2
36451,0
36475,0
36508,3
36563,2
36574,0
36585,2
36597,0
36598,6
36623,0
36628,0
36632,0
36715,0
36716,0
36717,2
36718,2
36757,0
36760,4
36783,3
36815,1
36817,0
36821,0
36824,0
36830,3
36860,0
36867,0
36913,0
36923,2
36928,0
36932,2
36943,2
36950,5
36968,0
36969,2
36988,2
37002,5
37014,1
37025,0
37031,2
37052,0
37056,2
37060,0
37100,0
37204,0
37217,2
37224,6
