,cluster
18325,1
18327,1
18351,1
18385,1
18404,1
18409,1
18415,1
18417,0
18422,0
18480,1
18515,1
18524,1
18544,0
18567,1
18570,1
18612,3
18620,1
18624,1
18625,1
18626,1
18628,1
18656,0
18658,1
18672,1
18708,1
18720,1
18725,1
18750,1
18755,1
18790,1
18794,1
18808,1
18829,0
18831,1
18850,1
18858,1
18859,1
18884,1
18895,1
18904,1
18937,0
18993,1
19026,1
19067,1
19087,0
19107,1
19140,1
19164,1
19176,1
19195,1
19208,0
19215,1
19220,1
19242,1
19248,1
19250,0
19263,0
19279,1
19291,1
19298,0
19303,1
19373,1
19405,0
19420,1
19505,0
19513,1
19571,1
19575,1
19597,1
19602,1
19607,1
19609,1
19646,1
19690,1
19713,1
19715,1
19726,1
19751,1
19785,0
19788,1
19791,1
19793,1
19794,1
19817,1
19818,1
19829,0
19911,0
19915,1
19964,1
19967,3
19991,1
20047,1
20050,1
20051,1
20063,1
20075,3
20080,1
20102,1
20110,1
20117,1
20125,1
20157,1
20162,1
20185,1
20201,1
20204,1
20208,0
20210,1
20228,1
20241,0
20248,1
20258,1
20270,0
20284,1
20294,1
20303,1
20307,1
20321,1
20358,0
20391,1
20402,1
20416,1
20431,2
20434,1
20435,1
20442,-1
20446,1
20450,1
20468,1
20485,0
20513,1
20522,0
20527,1
20540,1
20542,1
20554,1
20557,0
20607,0
20659,1
20755,1
20766,0
20786,1
20807,1
20833,1
20837,0
20844,1
20861,1
20895,-1
20912,1
20923,0
20976,0
20992,1
20996,0
20998,1
21005,1
21035,1
21044,0
21047,1
21063,1
21066,1
21095,1
21096,1
21099,1
21111,0
21126,1
21140,1
21158,1
21192,0
21202,0
21223,1
21226,1
21231,1
21235,1
21261,1
21290,4
21304,1
21343,1
21346,0
21354,1
21358,1
21400,1
21422,1
21431,1
21447,1
21489,1
21503,1
21505,5
21507,1
21564,1
21584,1
21588,1
21596,1
21636,1
21654,1
21662,1
21678,4
21684,1
21730,1
21801,1
21803,5
21816,0
21842,1
21856,1
21870,1
21873,1
21892,1
21905,1
21917,1
21924,0
21930,3
21932,1
21962,1
21964,1
21978,1
22016,1
22036,1
22042,1
22081,1
22087,1
22162,1
22165,1
22174,1
22196,0
22231,0
22233,1
22235,1
22236,1
22249,0
22297,0
22321,0
22324,1
22326,1
22329,1
22341,1
22347,1
22393,1
22407,1
22423,3
22440,0
22449,1
22466,0
22472,1
22540,0
22551,0
22568,0
22571,1
22585,0
22592,1
22625,1
22683,1
22691,1
22705,1
22710,1
22763,1
22773,1
22779,1
22784,0
22801,1
22805,1
22815,1
22843,1
22848,0
22870,0
22875,1
22877,1
22886,0
22894,1
22901,1
22919,0
22959,0
22966,0
22986,1
23026,3
23030,0
23036,1
23053,1
23082,1
23088,1
23093,0
23105,1
23115,1
23151,0
23165,1
23183,-1
23185,1
23186,1
23207,1
23229,0
23257,0
23260,0
23282,3
23298,1
23309,1
23320,1
23321,1
23378,1
23417,0
23438,1
23455,1
23472,1
23510,0
23531,1
23543,1
23545,0
23547,0
23550,1
23567,1
23574,1
23583,0
23602,1
23612,0
23641,1
23671,1
23681,1
23682,1
23694,1
23700,0
23707,3
23718,1
23721,1
23743,1
23745,0
23763,1
23767,1
23827,1
23833,0
23935,0
23961,1
23973,0
23990,1
24017,1
24040,1
24056,0
24058,1
24063,1
24074,1
24089,1
24166,1
24178,1
24179,1
24209,0
24218,1
24270,1
24275,-1
24281,1
24289,1
24295,2
24298,1
24300,1
24327,3
24339,1
24345,1
24395,1
24400,1
24401,1
24406,1
24435,1
24453,1
24461,1
24483,1
24519,1
24562,1
24581,1
24582,1
24595,1
24598,0
24633,1
24650,0
24663,0
24672,1
24686,1
24708,1
24714,5
24748,1
24769,1
24798,1
24802,1
24812,1
24813,1
24826,1
24828,0
24873,1
24890,3
24916,1
24991,1
24993,1
25022,0
25027,1
25041,1
25042,1
25089,1
25097,1
25124,1
25139,1
25140,1
25145,1
25168,1
25179,1
25185,0
25188,1
25194,0
25231,1
25271,1
25294,1
25297,1
25301,0
25311,1
25334,1
25361,1
25382,1
25399,4
25421,1
25452,1
25481,1
25522,0
25549,1
25561,0
25593,1
25594,1
25603,-1
25612,1
25614,1
25617,1
25682,1
25696,1
25732,1
25747,1
25763,1
25779,1
25782,1
25797,0
25810,1
25829,1
25839,0
25878,1
25880,1
25883,1
25900,1
25919,1
25934,1
25960,1
25963,0
25979,1
26007,1
26019,1
26038,1
26075,1
26082,1
26106,1
26181,1
26203,1
26226,1
26228,1
26231,1
26271,0
26280,1
26282,1
26299,1
26303,0
26322,0
26355,1
26361,1
26364,1
26375,1
26385,4
26422,1
26430,1
26449,1
26471,1
26473,1
26482,1
26493,1
26535,-1
26546,0
26548,1
26564,1
26567,1
26599,0
26620,0
26628,1
26629,1
26644,3
26659,0
26662,1
26752,1
26762,1
26808,1
26820,0
26849,1
26871,1
26884,1
26898,0
26904,0
26910,1
26929,1
26946,1
26994,0
27013,1
27038,1
27046,1
27058,1
27063,1
27068,0
27082,1
27083,1
27097,1
27099,1
27110,0
27130,1
27192,1
27219,1
27248,0
27260,1
27264,1
27282,0
27327,1
27347,1
27362,1
27424,1
27438,1
27445,1
27509,0
27531,1
27538,1
27585,1
27589,1
27653,1
27704,3
27757,0
27781,0
27790,1
27829,0
27842,1
27883,0
27894,1
27931,1
27934,1
27962,1
27964,0
27975,3
27990,3
28032,1
28034,1
28058,1
28091,1
28099,1
28112,1
28126,1
28184,1
28188,1
28189,1
28205,1
28217,1
28255,1
28291,1
28301,1
28306,1
28313,1
28322,1
28337,1
28388,1
28411,1
28415,1
28423,1
28427,0
28437,1
28453,1
28455,-1
28469,1
28476,1
28491,1
28521,1
28528,1
28545,1
28568,1
28578,1
28582,1
28620,1
28661,1
28735,1
28792,1
28821,1
28894,1
28906,1
28958,1
28971,1
28994,1
29000,1
29005,0
29072,1
29085,1
29106,1
29163,1
29280,1
29287,1
29311,1
29316,0
29338,1
29344,1
29349,1
29353,1
29369,1
29377,0
29379,1
29384,1
29386,3
29396,1
29402,0
29410,1
29414,1
29426,1
29432,1
29473,1
29481,1
29539,1
29542,1
29543,0
29591,1
29616,1
29657,1
29675,1
29688,1
29708,1
29730,1
29732,1
29789,1
29791,0
29796,1
29798,1
29838,1
29840,1
30007,1
30016,0
30024,1
30030,0
30038,0
30042,1
30056,1
30064,1
30073,1
30105,1
30108,0
30109,1
30117,0
30132,1
30133,0
30157,0
30167,1
30173,1
30196,1
30208,1
30223,1
30233,0
30268,0
30292,0
30380,1
30389,1
30393,1
30394,1
30413,1
30416,1
30427,0
30430,1
30463,3
30481,1
30531,1
30537,1
30552,1
30572,1
30626,1
30686,0
30687,0
30720,0
30757,1
30771,1
30841,1
30848,1
30857,0
30861,1
30870,1
30873,1
30880,1
30904,1
30909,1
30914,5
30921,2
30999,1
31055,0
31062,0
31064,0
31074,1
31079,1
31080,1
31090,1
31103,1
