year,state,congressional_district,party,candidatevotes,totalvotes
1976,NEW JERSEY,12,REPUBLICAN,136973,187282
1976,NEW JERSEY,13,DEMOCRAT,105291,209051
1976,NEW JERSEY,14,DEMOCRAT,73174,146768
1976,NEW JERSEY,15,DEMOCRAT,106170,179836
1976,NEW MEXICO,1,REPUBLICAN,162587,225546
1976,NEW MEXICO,2,DEMOCRAT,123563,175694
1976,NEW YORK,1,DEMOCRAT,129779,207468
1976,NEW YORK,2,DEMOCRAT,90172,159902
1976,NEW YORK,3,DEMOCRAT,94265,181439
1976,NEW YORK,4,REPUBLICAN,91304,190029
1976,NEW YORK,5,REPUBLICAN,98337,198234
1976,NEW YORK,6,DEMOCRAT,104374,181947
1976,NEW YORK,7,DEMOCRAT,82107,113373
1976,NEW YORK,8,DEMOCRAT,98954,137861
1976,NEW YORK,9,DEMOCRAT,53418,115195
1976,NEW YORK,10,DEMOCRAT,69019,115962
1976,NEW YORK,11,DEMOCRAT,84770,114458
1976,NEW YORK,12,DEMOCRAT,41297,49632
1976,NEW YORK,13,DEMOCRAT,102662,132224
1976,NEW YORK,14,DEMOCRAT,51934,65591
1976,NEW YORK,15,DEMOCRAT,59350,109487
1976,NEW YORK,16,DEMOCRAT,86992,113418
1976,NEW YORK,17,DEMOCRAT,89126,135915
1976,NEW YORK,18,DEMOCRAT,98813,149422
1976,NEW YORK,19,DEMOCRAT,77849,94481
1976,NEW YORK,20,DEMOCRAT,82501,110490
1976,NEW YORK,21,DEMOCRAT,37184,41883
1976,NEW YORK,22,DEMOCRAT,86381,106592
1976,NEW YORK,23,REPUBLICAN,78601,173430
1976,NEW YORK,24,DEMOCRAT,99761,183012
1976,NEW YORK,25,REPUBLICAN,122958,197605
1976,NEW YORK,26,REPUBLICAN,120049,183981
1976,NEW YORK,27,DEMOCRAT,121763,190674
1976,NEW YORK,28,DEMOCRAT,170034,215162
1976,NEW YORK,29,REPUBLICAN,96476,214222
1976,NEW YORK,30,REPUBLICAN,89493,171515
1976,NEW YORK,31,REPUBLICAN,115464,185175
1976,NEW YORK,32,DEMOCRAT,101419,185140
1976,NEW YORK,33,REPUBLICAN,125163,182755
1976,NEW YORK,34,REPUBLICAN,126566,192196
1976,NEW YORK,35,REPUBLICAN,120738,187915
1976,NEW YORK,36,DEMOCRAT,118765,184947
1976,NEW YORK,37,DEMOCRAT,95604,127951
1976,NEW YORK,38,REPUBLICAN,151610,212009
1976,NEW YORK,39,DEMOCRAT,109986,178004
1976,NORTH CAROLINA,1,DEMOCRAT,98611,129956
1976,NORTH CAROLINA,2,DEMOCRAT,113368,113368
1976,NORTH CAROLINA,3,DEMOCRAT,77193,112282
1976,NORTH CAROLINA,4,DEMOCRAT,92165,152082
1976,NORTH CAROLINA,5,DEMOCRAT,98789,182164
1976,NORTH CAROLINA,6,DEMOCRAT,103851,107811
1976,NORTH CAROLINA,7,DEMOCRAT,95463,117418
1976,NORTH CAROLINA,8,DEMOCRAT,99296,151081
1976,NORTH CAROLINA,9,REPUBLICAN,82297,153788
1976,NORTH CAROLINA,10,REPUBLICAN,99882,167072
1976,NORTH CAROLINA,11,DEMOCRAT,93857,184405
1976,NORTH DAKOTA,0,REPUBLICAN,181018,289881
1976,OHIO,1,REPUBLICAN,109789,169516
1976,OHIO,2,DEMOCRAT,88178,171637
1976,OHIO,3,REPUBLICAN,100871,145374
1976,OHIO,4,REPUBLICAN,121173,172957
1976,OHIO,5,REPUBLICAN,124910,185214
1976,OHIO,6,REPUBLICAN,107064,174131
1976,OHIO,7,REPUBLICAN,101027,155782
1976,OHIO,8,REPUBLICAN,110775,161357
1976,OHIO,9,DEMOCRAT,91040,167969
1976,OHIO,10,REPUBLICAN,127147,184904
1976,OHIO,11,REPUBLICAN,120716,168264
1976,OHIO,12,REPUBLICAN,90987,195840
1976,OHIO,13,DEMOCRAT,108061,163683
1976,OHIO,14,DEMOCRAT,121652,164188
1976,OHIO,15,REPUBLICAN,109630,167371
1976,OHIO,16,REPUBLICAN,116374,174091
1976,OHIO,17,REPUBLICAN,94874,167042
1976,OHIO,18,DEMOCRAT,116901,185834
1976,OHIO,19,DEMOCRAT,90386,179895
1976,OHIO,20,DEMOCRAT,98785,121976
1976,OHIO,21,DEMOCRAT,91903,109626
1976,OHIO,22,DEMOCRAT,128535,176723
1976,OHIO,23,DEMOCRAT,130576,178380
1976,OKLAHOMA,1,DEMOCRAT,100945,187044
1976,OKLAHOMA,2,DEMOCRAT,102402,189743
1976,OKLAHOMA,3,DEMOCRAT,151271,184565
1976,OKLAHOMA,4,DEMOCRAT,116425,155357
1976,OKLAHOMA,5,REPUBLICAN,78651,157764
1976,OKLAHOMA,6,DEMOCRAT,137498,193451
1976,OREGON,1,DEMOCRAT,154844,264000
1976,OREGON,2,DEMOCRAT,173313,240761
1976,OREGON,3,DEMOCRAT,148503,177051
1976,OREGON,4,DEMOCRAT,122475,244852
1976,PENNSYLVANIA,1,DEMOCRAT,117087,159205
1976,PENNSYLVANIA,2,DEMOCRAT,109855,149369
1976,PENNSYLVANIA,3,DEMOCRAT,98627,134818
1976,PENNSYLVANIA,4,DEMOCRAT,144890,214590
1976,PENNSYLVANIA,5,REPUBLICAN,119682,200981
1976,PENNSYLVANIA,6,DEMOCRAT,133624,180998
1976,PENNSYLVANIA,7,DEMOCRAT,109436,202351
1976,PENNSYLVANIA,8,DEMOCRAT,93855,189623
1976,PENNSYLVANIA,9,REPUBLICAN,154359,154359
1976,PENNSYLVANIA,10,REPUBLICAN,125218,200143
1976,PENNSYLVANIA,11,DEMOCRAT,130175,183796
1976,PENNSYLVANIA,12,DEMOCRAT,122504,180993
1976,PENNSYLVANIA,13,REPUBLICAN,130705,206140
1976,PENNSYLVANIA,14,DEMOCRAT,114472,159644
1976,PENNSYLVANIA,15,DEMOCRAT,108844,166890
1976,PENNSYLVANIA,16,REPUBLICAN,97527,156455
1976,PENNSYLVANIA,17,DEMOCRAT,86158,169864
1976,PENNSYLVANIA,18,DEMOCRAT,113787,191381
