state_code,state,congressional_district,year,male_child,male_teen,male_adult,female_child,female_teen,female_adult,Females under 5 years,Females 5 to 9 years,Females 10 to 14 years,Females 15 to 17 years,Females 18 and 19 years,Females 20 years,Females 21 years,Females 22 to 24 years,Females 25 to 29 years,Females 30 to 34 years,Females 35 to 39 years,Females 40 to 44 years,Females 45 to 49 years,Females 50 to 54 years,Females 55 to 59 years,Females 60 and 61 years,Females 62 to 64 years,Females 65 and 66 years,Females 67 to 69 years,Females 70 to 74 years,Females 75 to 79 years,Females 80 to 84 years,Females 85 years and over,Males under 5 years,Males 5 to 9 years,Males 10 to 14 years,Males 15 to 17 years,Males 18 and 19 years,Males 20 years,Males 21 years,Males 22 to 24 years,Males 25 to 29 years,Males 30 to 34 years,Males 35 to 39 years,Males 40 to 44 years,Males 45 to 49 years,Males 50 to 54 years,Males 55 to 59 years,Males 60 and 61 years,Males 62 to 64 years,Males 65 and 66 years,Males 67 to 69 years,Males 70 to 74 years,Males 75 to 79 years,Males 80 to 84 years,Males 85 years and over
06,California,04,2013,50502.0,37669.0,263399.0,48431.0,35323.0,268829.0,18595,20902,22337,14116,7805,3502,3696,9542,17207,18030,20200,22805,26664,28821,28865,10261,14774,9365,11365,15137,10869,8534,9192,18411,23051,22602,15323,8785,4580,3634,11439,18421,19771,20285,22831,26776,28845,26201,10171,14627,8749,11117,13232,10327,6852,5541
06,California,05,2013,52652.0,37839.0,257905.0,49506.0,36250.0,275819.0,20473,20299,21836,13718,9431,4881,4906,13471,23533,22161,21912,21882,26902,27882,27303,10455,13604,7526,9073,11746,10109,7905,10568,21691,21917,22611,14884,9389,5403,5380,14805,25287,22894,21160,21881,24738,26144,24058,9707,13186,7198,7854,10622,6967,5353,5268
06,California,06,2013,62920.0,38844.0,242549.0,60134.0,37861.0,267548.0,25908,25012,23037,14357,9682,6369,5771,17336,31406,28293,23764,23106,23522,24118,22175,7671,10191,5785,7317,9393,7461,6494,7376,27190,26029,24254,14702,9590,5548,5638,16888,30619,26881,22977,22314,22643,21630,19406,7083,8669,4700,6055,7595,5520,4397,3986
06,California,07,2013,59038.0,42907.0,249158.0,55178.0,39362.0,265863.0,22397,22745,25092,15685,8622,4910,5090,12641,23151,23004,22874,25667,26159,26754,23899,8774,11925,6831,8543,10840,8997,7180,8624,24150,24531,25893,17221,10151,4929,4752,13966,23910,24041,23463,24783,25566,25855,21900,7450,10763,5492,6646,9374,6908,5348,4012
06,California,08,2013,65667.0,47189.0,239471.0,65145.0,43109.0,241148.0,27384,26965,26990,17382,9533,5446,4571,14331,23372,21598,20292,21504,23234,23819,21468,8151,10197,5817,8509,10055,7198,6350,5236,28241,25720,29265,17390,12240,6397,6456,15780,24463,21832,20590,21643,22726,23356,21357,7459,10119,5730,7186,9454,6697,4781,3445
06,California,09,2013,66179.0,48671.0,237662.0,64884.0,45583.0,250841.0,25613,28054,28044,17908,10849,5515,5102,14450,22754,23176,23602,23500,24806,24615,21811,7411,9992,6425,6920,10413,7605,5849,6895,26418,27622,30349,18943,11519,5775,5904,15639,23395,22161,21864,24909,23694,23117,20346,6543,9493,5153,6888,8336,6338,4543,3564
06,California,10,2013,68189.0,48151.0,236462.0,62989.0,44708.0,247707.0,26204,25205,28951,17070,10268,5409,4460,14570,24355,23154,23130,24173,24500,23605,19998,7440,10081,6420,7269,9146,6913,6519,6565,28241,27809,30348,18721,11222,6226,4871,14660,24708,23474,23279,23243,24665,23724,19862,6257,8841,5447,6159,8043,5408,3864,3731
06,California,11,2013,55510.0,38301.0,253223.0,55158.0,35966.0,275675.0,22682,23602,22185,13852,8803,3913,4298,12829,22415,22505,23644,25397,27174,28232,25849,9291,13118,7462,9061,12428,9688,7827,10544,22200,23772,23846,14602,9392,4529,4116,12759,22691,22771,22603,24321,25880,26618,22454,8861,12459,6885,7628,10234,7575,5519,5320
06,California,12,2013,32609.0,19081.0,310068.0,31825.0,19665.0,296484.0,15800,11696,10824,7222,5949,3522,3773,17476,41571,36989,29365,25178,22475,21248,19929,8411,12369,6094,7766,11520,10059,8564,10175,16200,12181,10570,7353,5386,3173,2985,16307,42148,40383,34509,31046,28178,25106,22784,9236,11597,6012,7155,10072,8464,5564,5349
06,California,13,2013,49514.0,34091.0,262854.0,46559.0,34488.0,286113.0,20136,18972,18628,11522,11790,6448,6495,16565,29540,29331,27806,25787,24380,24513,23543,9137,13122,6886,8206,10679,7691,6712,9272,21306,20849,18398,12062,10991,5036,6023,17356,29986,28143,25456,26907,23654,22974,21089,8027,11325,6111,7081,8867,6055,4198,4566
