year,state,majority_state_party,px_code
1982,NEW YORK,DEMOCRAT,NY
1982,NORTH CAROLINA,REPUBLICAN,NC
1982,NORTH DAKOTA,DEMOCRAT,ND
1982,OHIO,DEMOCRAT,OH
1982,OKLAHOMA,DEMOCRAT,OK
1982,OREGON,DEMOCRAT,OR
1982,PENNSYLVANIA,DEMOCRAT,PA
1982,RHODE ISLAND,DEMOCRAT,RI
1982,SOUTH CAROLINA,DEMOCRAT,SC
1982,SOUTH DAKOTA,DEMOCRAT,SD
1982,TENNESSEE,DEMOCRAT,TN
1982,TEXAS,REPUBLICAN,TX
1982,UTAH,REPUBLICAN,UT
1982,VERMONT,REPUBLICAN,VT
1982,VIRGINIA,DEMOCRAT,VA
1982,WASHINGTON,REPUBLICAN,WA
1982,WEST VIRGINIA,DEMOCRAT,WV
1982,WISCONSIN,REPUBLICAN,WI
1982,WYOMING,REPUBLICAN,WY
1984,ALABAMA,DEMOCRAT,AL
1984,ALASKA,REPUBLICAN,AK
1984,ARIZONA,DEMOCRAT,AZ
1984,ARKANSAS,DEMOCRAT,AR
1984,CALIFORNIA,REPUBLICAN,CA
1984,COLORADO,REPUBLICAN,CO
1984,CONNECTICUT,REPUBLICAN,CT
1984,DELAWARE,DEMOCRAT,DE
1984,DISTRICT OF COLUMBIA,DEMOCRAT,
1984,FLORIDA,DEMOCRAT,FL
1984,GEORGIA,DEMOCRAT,GA
1984,HAWAII,DEMOCRAT,HI
1984,IDAHO,REPUBLICAN,ID
1984,ILLINOIS,REPUBLICAN,IL
1984,INDIANA,REPUBLICAN,IN
1984,IOWA,DEMOCRAT,IA
1984,KANSAS,REPUBLICAN,KS
1984,KENTUCKY,DEMOCRAT,KY
1984,LOUISIANA,REPUBLICAN,LA
1984,MAINE,REPUBLICAN,ME
1984,MARYLAND,DEMOCRAT,MD
1984,MASSACHUSETTS,DEMOCRAT,MA
1984,MICHIGAN,DEMOCRAT,MI
1984,MINNESOTA,DEMOCRAT,MN
1984,MISSISSIPPI,DEMOCRAT,MS
1984,MISSOURI,DEMOCRAT,MO
1984,MONTANA,REPUBLICAN,MT
1984,NEBRASKA,REPUBLICAN,NE
1984,NEVADA,REPUBLICAN,NV
1984,NEW HAMPSHIRE,REPUBLICAN,NH
1984,NEW JERSEY,DEMOCRAT,NJ
1984,NEW MEXICO,REPUBLICAN,NM
1984,NEW YORK,DEMOCRAT,NY
1984,NORTH CAROLINA,DEMOCRAT,NC
1984,NORTH DAKOTA,DEMOCRAT,ND
1984,OHIO,REPUBLICAN,OH
1984,OKLAHOMA,REPUBLICAN,OK
1984,OREGON,DEMOCRAT,OR
1984,PENNSYLVANIA,DEMOCRAT,PA
1984,RHODE ISLAND,DEMOCRAT,RI
1984,SOUTH CAROLINA,DEMOCRAT,SC
1984,SOUTH DAKOTA,DEMOCRAT,SD
1984,TENNESSEE,REPUBLICAN,TN
1984,TEXAS,DEMOCRAT,TX
1984,UTAH,REPUBLICAN,UT
1984,VERMONT,REPUBLICAN,VT
1984,VIRGINIA,DEMOCRAT,VA
1984,WASHINGTON,DEMOCRAT,WA
1984,WEST VIRGINIA,DEMOCRAT,WV
1984,WISCONSIN,REPUBLICAN,WI
1984,WYOMING,REPUBLICAN,WY
1986,ALABAMA,REPUBLICAN,AL
1986,ALASKA,REPUBLICAN,AK
1986,ARIZONA,REPUBLICAN,AZ
1986,ARKANSAS,REPUBLICAN,AR
1986,CALIFORNIA,REPUBLICAN,CA
1986,COLORADO,REPUBLICAN,CO
1986,CONNECTICUT,DEMOCRAT,CT
1986,DELAWARE,DEMOCRAT,DE
1986,DISTRICT OF COLUMBIA,DEMOCRAT,
1986,FLORIDA,DEMOCRAT,FL
1986,GEORGIA,DEMOCRAT,GA
1986,HAWAII,DEMOCRAT,HI
1986,IDAHO,REPUBLICAN,ID
1986,ILLINOIS,REPUBLICAN,IL
1986,INDIANA,REPUBLICAN,IN
1986,IOWA,DEMOCRAT,IA
1986,KANSAS,REPUBLICAN,KS
1986,KENTUCKY,DEMOCRAT,KY
1986,LOUISIANA,REPUBLICAN,LA
1986,MAINE,REPUBLICAN,ME
1986,MARYLAND,DEMOCRAT,MD
1986,MASSACHUSETTS,REPUBLICAN,MA
1986,MICHIGAN,DEMOCRAT,MI
1986,MINNESOTA,DEMOCRAT,MN
1986,MISSISSIPPI,REPUBLICAN,MS
1986,MISSOURI,DEMOCRAT,MO
1986,MONTANA,DEMOCRAT,MT
1986,NEBRASKA,REPUBLICAN,NE
1986,NEVADA,REPUBLICAN,NV
1986,NEW HAMPSHIRE,REPUBLICAN,NH
1986,NEW JERSEY,DEMOCRAT,NJ
1986,NEW MEXICO,DEMOCRAT,NM
1986,NEW YORK,DEMOCRAT,NY
1986,NORTH CAROLINA,DEMOCRAT,NC
1986,NORTH DAKOTA,DEMOCRAT,ND
1986,OHIO,REPUBLICAN,OH
1986,OKLAHOMA,DEMOCRAT,OK
