,death
60688,0
223615,0
209825,0
55923,0
100226,1
151537,1
59670,0
230739,0
124125,0
226429,1
14578,0
132986,0
202399,0
36491,0
164942,0
207796,1
164546,0
17566,0
94185,0
65105,0
204582,1
216080,0
84844,0
30317,1
8905,0
32927,0
171362,0
140528,1
167645,0
120593,1
174254,1
110885,0
95174,0
91988,0
185638,0
56486,0
108568,0
110188,0
50756,0
23004,0
112167,0
75407,1
162524,0
238272,1
216671,0
164247,0
177425,1
22439,1
121403,0
144136,0
107805,1
70169,1
77452,1
41388,1
90186,0
158649,0
179293,0
105448,0
221343,0
131105,1
201233,1
173662,0
183930,1
226772,0
37027,0
117535,0
200159,0
24518,0
225842,0
159548,0
19074,1
177715,0
82401,1
210181,0
145252,0
84894,0
167373,1
209683,1
45640,1
235218,1
204042,1
39156,1
100141,0
196149,0
138006,0
209320,1
8613,0
50279,1
191848,1
118489,0
151393,1
159737,0
172187,0
87541,1
237504,0
92491,0
85551,0
236948,0
66132,1
83157,1
110949,0
57608,0
137741,0
84403,1
164965,1
115348,0
128287,1
43524,0
104572,0
166939,0
135761,1
202411,0
76001,0
90063,0
149058,1
156268,0
227135,1
227608,0
27801,1
156233,1
135359,1
226754,0
150079,0
140560,0
188905,0
61188,0
108995,1
70613,0
44114,0
114470,0
25228,0
219790,0
71365,1
202782,1
230745,0
168176,0
162403,1
59479,0
172392,1
165379,0
100762,0
172109,0
61554,0
38134,0
202409,1
55277,0
51110,1
113116,0
194976,0
142445,0
233203,0
216839,0
216843,0
83700,1
231199,0
163782,1
104636,0
29080,0
214081,0
67541,0
34709,0
4760,1
225333,0
154816,0
98629,0
122371,0
74607,1
13907,1
181782,1
144169,0
209010,1
222826,1
93663,0
144215,0
39544,0
182510,1
227209,0
65889,1
234168,0
3728,0
232713,0
82230,0
210584,1
153057,0
175338,0
198670,0
208610,0
84916,0
157176,0
111166,0
156977,0
3928,0
85620,1
32357,0
10845,0
37337,0
85243,1
149141,0
163481,1
182964,0
8042,0
14267,0
27611,0
110005,1
30337,1
180765,1
143072,0
146751,0
83122,0
111805,1
12801,0
97715,0
146145,0
161292,0
33852,0
157637,0
66853,0
33692,0
90311,0
111285,0
152564,0
132551,1
211061,1
53905,0
167348,1
217145,0
144247,0
99778,0
215919,0
97591,0
189748,1
157156,1
9108,0
227944,1
35932,0
129402,0
4909,0
47262,1
84234,0
100721,1
1714,1
148827,0
132283,0
58927,0
13409,1
69497,1
208808,0
24497,0
151792,0
148539,1
213319,1
145686,1
137533,0
196351,1
28122,0
146999,1
117744,1
38997,0
69158,0
233328,1
181606,0
36039,0
78895,0
233026,0
718,0
105565,0
17789,1
157038,0
71042,0
97092,0
11061,1
71343,1
229353,1
150961,0
42750,1
203614,0
197503,0
73138,0
112861,1
135078,0
33620,0
186440,0
95369,0
236077,1
15317,0
25415,1
150060,0
192301,0
79955,0
176773,0
52620,0
143075,0
130845,1
120147,0
23566,0
169693,0
227845,0
97966,0
158153,0
27323,0
77444,0
76724,1
147224,1
191828,1
21874,0
154384,1
92943,1
52639,0
42670,0
39193,0
232111,0
211101,0
190734,0
180303,0
91661,0
4524,0
41572,0
221192,0
109725,1
64929,1
120284,0
91211,0
235317,1
73350,0
203097,0
118583,0
203020,0
92167,0
36513,0
41088,0
190038,0
101934,1
176404,0
51484,0
160551,0
13253,0
157845,0
68324,0
153656,0
93668,1
80794,1
86363,0
120768,0
200414,0
113376,1
73246,0
193437,0
229708,0
223897,0
103322,0
189879,0
7293,0
55225,0
98852,0
227376,0
107186,0
132968,0
219788,1
145666,0
214861,1
169591,0
110558,0
46453,0
196861,0
138581,1
174521,1
91147,1
51132,0
25976,0
8125,0
48981,1
157626,0
64303,0
191550,0
123974,1
37906,1
193972,0
93471,0
236198,1
37503,1
13425,0
233642,1
17270,1
68298,1
221077,0
19509,0
33439,0
161352,0
105867,1
160579,0
165456,0
65389,1
146111,0
224209,1
211414,1
164735,1
48292,0
184842,1
103042,0
65097,0
206923,0
51631,1
229659,0
71721,0
46289,0
234510,0
222053,0
71369,1
227341,0
193172,1
101935,0
63395,0
145416,1
80081,0
176761,0
149860,0
173814,1
142204,0
172555,0
63710,1
228883,0
223354,0
184933,0
95447,0
200112,1
52224,0
65578,1
131009,1
9462,0
3021,0
32483,1
57981,0
104380,0
164262,0
218526,0
132509,0
138354,1
142572,0
95067,1
88859,0
83945,0
133509,1
143488,0
225878,1
205094,0
43157,0
55864,1
148366,0
105830,0
58365,1
163087,0
37659,0
34967,0
89177,0
55921,1
212778,1
100502,1
200880,0
144784,1
126406,0
162340,1
53881,1
52205,0
4729,0
140244,0
166063,0
15606,0
58452,0
25438,0
237564,0
61280,0
80260,0
203355,0
92708,0
158150,0
163719,0
191047,1
94927,1
138723,1
93472,0
80920,0
11495,1
95167,1
145450,1
217233,0
192101,1
130808,1
131560,0
7062,0
128161,1
189865,0
128185,1
159538,1
55436,0
163553,0
68255,1
219761,1
25192,0
85328,0
149041,0
107643,1
101232,0
62827,0
79041,0
121776,1
150032,0
1536,1
171502,0
108182,0
116825,0
23023,1
221465,0
61081,0
54545,1
93906,0
13686,0
208596,0
146662,0
161869,0
20194,0
6337,0
44799,0
102598,1
14269,0
104505,1
8892,0
231661,1
161902,0
171376,0
137127,1
84692,0
194984,0
111134,0
185563,1
225010,1
163958,1
128380,1
198759,1
5847,0
113226,0
159198,0
129367,1
203626,1
231976,0
213160,1
145492,0
98487,0
58556,0
154622,0
19460,0
174471,0
144798,0
230114,0
115174,0
185581,1
239216,1
207264,0
206032,0
108550,0
16806,0
233413,0
119344,0
147130,0
230033,0
2377,0
30812,0
37082,0
96365,0
2373,0
69126,1
19617,1
143174,0
204399,0
159124,1
71969,0
114633,0
180161,1
81308,0
70580,0
175609,1
51961,0
205914,0
40788,1
153023,0
118340,0
192568,1
86139,0
70258,0
10839,1
212379,0
4000,0
135771,0
19226,0
210393,0
231995,0
48012,0
95200,0
215834,0
63272,0
35451,1
161326,1
16943,0
186137,0
151451,1
26784,0
34547,1
91953,0
34913,0
210973,1
100842,0
178455,0
191502,1
183167,0
68659,0
44890,0
116459,1
5661,0
140635,0
224050,1
117396,0
234908,0
6831,0
120939,0
147368,0
12537,0
87390,0
78042,1
155906,1
85610,0
185001,0
235716,0
14623,0
34058,0
66468,1
232581,0
11142,1
113381,0
137963,1
49283,0
190543,0
159283,0
135795,1
88952,1
53068,1
182434,0
25753,1
50130,0
170692,1
131691,0
111031,0
85090,1
62548,1
